iter	Passed	Remaining
0	59	59339
1	59	29775
2	59	19926
3	60	14999
4	60	12040
5	60	10071
6	61	8663
7	61	7604
8	61	6782
9	61	6123
10	62	5583
11	62	5133
12	62	4756
13	62	4434
14	63	4151
15	63	3903
16	63	3685
17	64	3492
18	64	3317
19	64	3160
20	64	3018
21	64	2889
22	65	2770
23	65	2663
24	65	2564
25	66	2473
26	66	2387
27	66	2309
28	66	2236
29	67	2169
30	67	2108
31	67	2050
32	68	1995
33	68	1942
34	68	1892
35	68	1845
36	69	1799
37	69	1757
38	69	1716
39	69	1677
40	70	1640
41	70	1605
42	70	1572
43	70	1540
44	71	1509
45	71	1480
46	71	1452
47	71	1425
48	72	1399
49	72	1374
50	72	1350
51	72	1327
52	73	1304
53	73	1284
54	73	1263
55	73	1244
56	74	1225
57	74	1206
58	74	1188
59	74	1171
60	74	1154
61	75	1138
62	75	1122
63	75	1106
64	75	1092
65	76	1077
66	76	1063
67	76	1050
68	76	1036
69	77	1023
70	77	1011
71	77	999
72	77	988
73	78	976
74	78	965
75	78	954
76	78	943
77	78	933
78	79	923
79	79	913
80	79	904
81	79	894
82	80	883
83	80	874
84	80	866
85	80	857
86	80	849
87	81	841
88	81	833
89	81	825
90	81	817
91	82	810
92	82	802
93	82	795
94	82	789
95	83	782
96	83	776
97	83	769
98	83	763
99	84	756
100	84	750
101	84	744
102	84	738
103	84	732
104	85	726
105	85	720
106	85	715
107	85	709
108	86	703
109	86	698
110	86	693
111	86	688
112	87	683
113	87	678
114	87	673
115	87	668
116	87	663
117	88	659
118	88	654
119	88	650
120	88	646
121	89	641
122	89	637
123	89	633
124	89	628
125	90	624
126	90	620
127	90	616
128	90	612
129	90	608
130	91	605
131	91	601
132	91	597
133	91	594
134	92	590
135	92	587
136	92	583
137	92	580
138	93	576
139	93	573
140	93	570
141	93	566
142	93	563
143	94	560
144	94	556
145	94	553
146	94	551
147	95	548
148	95	545
149	95	542
150	95	539
151	96	536
152	96	534
153	96	531
154	96	528
155	97	525
156	97	523
157	97	521
158	98	519
159	98	516
160	98	513
161	98	511
162	99	508
163	99	505
164	99	503
165	99	500
166	99	498
167	100	495
168	100	493
169	100	491
170	100	488
171	101	486
172	101	484
173	101	482
174	101	480
175	102	477
176	102	475
177	102	473
178	102	471
179	103	469
180	103	467
181	103	465
182	103	463
183	104	461
184	104	459
185	104	457
186	104	455
187	104	453
188	105	451
189	105	449
190	105	447
191	105	445
192	106	443
193	106	441
194	106	439
195	106	438
196	107	436
197	107	434
198	107	432
199	107	431
200	108	429
201	108	427
202	108	425
203	108	424
204	108	422
205	109	420
206	109	419
207	109	417
208	109	415
209	110	414
210	110	412
211	110	410
212	110	409
213	111	407
214	111	406
215	111	405
216	111	403
217	112	402
218	112	400
219	112	399
220	112	398
221	113	396
222	113	395
223	113	393
224	113	392
225	114	391
226	114	389
227	114	388
228	114	386
229	115	385
230	115	384
231	115	382
232	115	381
233	116	379
234	116	378
235	116	377
236	116	375
237	116	374
238	117	372
239	117	371
240	117	370
241	117	369
242	118	368
243	118	366
244	118	365
245	118	364
246	119	363
247	119	361
248	119	360
249	119	359
250	120	358
251	120	356
252	120	355
253	120	354
254	120	353
255	121	352
256	121	350
257	121	349
258	121	348
259	122	347
260	122	346
261	122	345
262	122	343
263	123	342
264	123	341
265	123	340
266	123	339
267	123	338
268	124	337
269	124	336
270	124	335
271	124	334
272	125	333
273	125	332
274	125	331
275	125	330
276	126	329
277	126	328
278	126	327
279	126	325
280	127	325
281	127	324
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	128	317
289	129	316
290	129	315
291	129	314
292	130	313
293	130	312
294	130	311
295	130	310
296	130	309
297	131	309
298	131	308
299	131	307
300	131	306
301	132	305
302	132	304
303	132	303
304	132	302
305	133	301
306	133	300
307	133	299
308	133	299
309	133	298
310	134	297
311	134	296
312	134	295
313	134	294
314	135	293
315	135	292
316	135	292
317	135	291
318	136	290
319	136	289
320	136	288
321	136	287
322	136	287
323	137	286
324	137	285
325	137	284
326	137	283
327	138	282
328	138	282
329	138	281
330	138	280
331	139	279
332	139	278
333	139	278
334	139	277
335	139	276
336	140	275
337	140	275
338	140	274
339	141	274
340	141	273
341	141	272
342	142	272
343	142	271
344	142	270
345	142	269
346	142	268
347	143	268
348	143	267
349	143	266
350	143	265
351	144	265
352	144	264
353	144	264
354	144	263
355	145	262
356	145	261
357	145	261
358	145	260
359	146	259
360	146	259
361	146	258
362	147	258
363	147	257
364	147	256
365	147	256
366	148	255
367	148	254
368	148	254
369	148	253
370	149	252
371	149	252
372	149	251
373	149	250
374	150	250
375	150	249
376	150	248
377	150	248
378	150	247
379	151	246
380	151	246
381	151	245
382	151	244
383	152	244
384	152	243
385	152	242
386	152	242
387	153	241
388	153	241
389	153	240
390	154	240
391	154	239
392	154	239
393	155	238
394	155	237
395	155	237
396	155	236
397	155	235
398	156	235
399	156	234
400	156	234
401	156	233
402	157	232
403	157	232
404	157	231
405	157	230
406	157	230
407	158	229
408	158	228
409	158	228
410	158	227
411	159	227
412	159	226
413	159	225
414	159	225
415	160	224
416	160	224
417	160	223
418	160	222
419	161	222
420	161	221
421	161	221
422	161	220
423	162	220
424	162	219
425	162	219
426	162	218
427	163	217
428	163	217
429	163	216
430	163	216
431	164	215
432	164	215
433	164	214
434	164	213
435	164	213
436	165	212
437	165	212
438	165	211
439	165	211
440	166	210
441	166	209
442	166	209
443	166	208
444	167	208
445	167	208
446	167	207
447	168	207
448	168	206
449	168	206
450	168	205
451	169	204
452	169	204
453	169	203
454	169	203
455	170	202
456	170	202
457	170	201
458	170	201
459	171	200
460	171	200
461	171	199
462	171	199
463	172	198
464	172	198
465	172	197
466	172	197
467	173	196
468	173	196
469	173	195
470	173	195
471	174	194
472	174	194
473	174	193
474	174	193
475	175	192
476	175	192
477	175	191
478	175	191
479	175	190
480	176	190
481	176	189
482	176	189
483	177	188
484	177	188
485	177	187
486	177	187
487	178	186
488	178	186
489	178	185
490	178	185
491	179	184
492	179	184
493	179	183
494	179	183
495	180	182
496	180	182
497	180	181
498	180	181
499	180	180
500	181	180
501	181	179
502	181	179
503	181	178
504	182	178
505	182	177
506	182	177
507	182	177
508	183	176
509	183	176
510	183	175
511	183	175
512	183	174
513	184	174
514	184	173
515	184	173
516	184	172
517	185	172
518	185	171
519	185	171
520	185	170
521	185	170
522	186	169
523	186	169
524	186	168
525	186	168
526	187	167
527	187	167
528	187	167
529	187	166
530	188	166
531	188	165
532	188	165
533	188	164
534	188	164
535	189	163
536	189	163
537	189	162
538	189	162
539	190	161
540	190	161
541	190	161
542	190	160
543	191	160
544	191	159
545	191	159
546	191	158
547	191	158
548	192	157
549	192	157
550	192	156
551	192	156
552	193	156
553	193	155
554	193	155
555	194	155
556	194	154
557	194	154
558	195	153
559	195	153
560	195	153
561	195	152
562	196	152
563	196	151
564	196	151
565	197	151
566	197	150
567	197	150
568	198	150
569	198	149
570	198	149
571	198	148
572	199	148
573	199	147
574	199	147
575	199	147
576	200	146
577	200	146
578	200	145
579	200	145
580	200	144
581	201	144
582	201	144
583	201	143
584	201	143
585	202	142
586	202	142
587	202	142
588	203	141
589	203	141
590	203	140
591	203	140
592	203	139
593	204	139
594	204	139
595	204	138
596	204	138
597	205	137
598	205	137
599	205	137
600	205	136
601	206	136
602	206	135
603	206	135
604	206	134
605	206	134
606	207	134
607	207	133
608	207	133
609	208	133
610	208	132
611	208	132
612	208	131
613	209	131
614	209	131
615	209	130
