iter	Passed	Remaining
0	57	57283
1	57	28750
2	57	19230
3	58	14473
4	58	11613
5	58	9708
6	58	8347
7	59	7326
8	59	6534
9	59	5898
10	59	5378
11	60	4946
12	60	4583
13	60	4268
14	60	3997
15	61	3760
16	61	3548
17	61	3361
18	61	3192
19	62	3041
20	62	2905
21	62	2781
22	62	2675
23	63	2571
24	63	2475
25	63	2386
26	63	2304
27	64	2228
28	64	2156
29	64	2090
30	64	2028
31	65	1970
32	65	1915
33	65	1863
34	65	1815
35	66	1769
36	66	1725
37	66	1684
38	66	1645
39	67	1608
40	67	1572
41	67	1538
42	67	1506
43	67	1475
44	68	1446
45	68	1418
46	68	1391
47	68	1365
48	69	1340
49	69	1316
50	69	1292
51	69	1270
52	69	1249
53	70	1228
54	70	1208
55	70	1189
56	70	1170
57	70	1152
58	71	1135
59	71	1118
60	71	1102
61	71	1086
62	72	1071
63	72	1057
64	72	1042
65	72	1029
66	72	1015
67	73	1002
68	73	990
69	73	977
70	73	965
71	74	954
72	74	942
73	74	931
74	74	920
75	74	910
76	75	899
77	75	889
78	75	880
79	75	870
80	75	861
81	76	852
82	76	842
83	76	833
84	76	824
85	76	816
86	77	808
87	77	800
88	77	793
89	77	785
90	77	778
91	78	770
92	78	764
93	78	758
94	78	751
95	79	745
96	79	738
97	79	732
98	79	725
99	79	719
100	80	713
101	80	707
102	80	702
103	80	696
104	81	690
105	81	685
106	81	680
107	81	674
108	81	669
109	82	664
110	82	659
111	82	654
112	82	649
113	82	644
114	83	639
115	83	635
116	83	630
117	83	625
118	83	621
119	84	616
120	84	612
121	84	607
122	84	603
123	84	599
124	85	595
125	85	591
126	85	587
127	85	583
128	85	580
129	86	576
130	86	572
131	86	568
132	86	565
133	86	561
134	87	558
135	87	554
136	87	551
137	87	548
138	87	545
139	88	541
140	88	538
141	88	535
142	88	531
143	89	529
144	89	526
145	89	523
146	89	520
147	89	517
148	90	514
149	90	511
150	90	509
151	90	506
152	90	503
153	91	500
154	91	498
155	91	495
156	91	492
157	92	490
158	92	487
159	92	485
160	92	482
161	92	479
162	93	477
163	93	475
164	93	472
165	93	470
166	94	468
167	94	466
168	94	464
169	94	462
170	94	459
171	95	457
172	95	455
173	95	453
174	95	451
175	95	449
176	96	447
177	96	445
178	96	443
179	96	441
180	97	439
181	97	437
182	97	435
183	97	434
184	98	432
185	98	430
186	98	428
187	98	426
188	98	424
189	99	422
190	99	420
191	99	419
192	99	417
193	100	415
194	100	413
195	100	411
196	100	410
197	100	408
198	101	406
199	101	405
200	101	403
201	101	401
202	101	400
203	102	398
204	102	396
205	102	395
206	102	393
207	102	392
208	103	390
209	103	388
210	103	387
211	103	385
212	103	384
213	104	382
214	104	381
215	104	379
216	104	378
217	105	376
218	105	375
219	105	373
220	105	372
221	105	371
222	106	369
223	106	368
224	106	366
225	106	365
226	106	364
227	107	362
228	107	361
229	107	360
230	107	358
231	108	357
232	108	356
233	108	354
234	108	353
235	108	352
236	109	351
237	109	349
238	109	348
239	109	347
240	109	346
241	110	345
242	110	343
243	110	342
244	110	341
245	111	340
246	111	339
247	111	338
248	111	337
249	112	336
250	112	334
251	112	333
252	112	332
